Type,MarketName,MarketHashName,Marketable,Exterior,ItemSet,Quality,Rarity,Weapon,AveragePrice,MedianPrice,LowestPrice,HighestPrice,Currency,StandardDeviation,Volume
Consumer Grade Sniper Rifle,G3SG1 | Polar Camo (Field-Tested),G3SG1 | Polar Camo (Field-Tested),Yes,Field-Tested,The Train Collection,Normal,Consumer Grade,G3SG1,0.03,0.03,0.03,0.05,USD,0,10571
Base Grade Container,Clutch Case,Clutch Case,Yes,,The Clutch Collection,Normal,Base Grade,,1.52,1.51,1.34,1.7,USD,7.14,420830
Consumer Grade Rifle,SG 553 | Waves Perforated (Field-Tested),SG 553 | Waves Perforated (Field-Tested),Yes,Field-Tested,The Lake Collection,Normal,Consumer Grade,SG 553,0.03,0.03,0.03,0.05,USD,0,14625
Base Grade Container,Spectrum 2 Case,Spectrum 2 Case,Yes,,The Spectrum 2 Collection,Normal,Base Grade,,2.36,2.41,1.87,2.63,USD,7.37,183379
Consumer Grade Sniper Rifle,G3SG1 | Desert Storm (Field-Tested),G3SG1 | Desert Storm (Field-Tested),Yes,Field-Tested,The Dust 2 Collection,Normal,Consumer Grade,G3SG1,0.03,0.03,0.03,0.04,USD,0,11574
Base Grade Graffiti,Sealed Graffiti | Tilt (Shark White),Sealed Graffiti | Tilt (Shark White),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,516
Base Grade Container,Clutch Case,Clutch Case,Yes,,The Clutch Collection,Normal,Base Grade,,1.52,1.51,1.34,1.7,USD,7.14,420830
Base Grade Graffiti,Sealed Graffiti | Mr. Teeth (Tiger Orange),Sealed Graffiti | Mr. Teeth (Tiger Orange),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,672
Base Grade Container,Spectrum 2 Case,Spectrum 2 Case,Yes,,The Spectrum 2 Collection,Normal,Base Grade,,2.36,2.41,1.87,2.63,USD,7.37,183379
Industrial Grade SMG,PP-Bizon | Night Ops (Well-Worn),PP-Bizon | Night Ops (Well-Worn),Yes,Well-Worn,The Lake Collection,Normal,Industrial Grade,PP-Bizon,0.14,0.12,0.03,0.25,USD,23.08,301
Base Grade Container,Spectrum 2 Case,Spectrum 2 Case,Yes,,The Spectrum 2 Collection,Normal,Base Grade,,2.36,2.41,1.87,2.63,USD,7.37,183379
Consumer Grade SMG,PP-Bizon | Urban Dashed (Field-Tested),PP-Bizon | Urban Dashed (Field-Tested),Yes,Field-Tested,The Train Collection,Normal,Consumer Grade,PP-Bizon,0.03,0.03,0.03,0.03,USD,0,9166
Base Grade Container,Glove Case,Glove Case,Yes,,The Glove Collection,Normal,Base Grade,,6.07,6.09,4.71,6.28,USD,2.51,81277
Consumer Grade Sniper Rifle,SCAR-20 | Sand Mesh (Field-Tested),SCAR-20 | Sand Mesh (Field-Tested),Yes,Field-Tested,The Dust 2 Collection,Normal,Consumer Grade,SCAR-20,0.03,0.03,0.03,0.03,USD,0,12617
Base Grade Container,Spectrum 2 Case,Spectrum 2 Case,Yes,,The Spectrum 2 Collection,Normal,Base Grade,,2.36,2.41,1.87,2.63,USD,7.37,183379
Base Grade Container,Spectrum Case,Spectrum Case,Yes,,The Spectrum Collection,Normal,Base Grade,,2.96,3.02,2.57,3.22,USD,4.78,76827
Consumer Grade SMG,UMP-45 | Urban DDPAT (Field-Tested),UMP-45 | Urban DDPAT (Field-Tested),Yes,Field-Tested,The Train Collection,Normal,Consumer Grade,UMP-45,0.03,0.03,0.03,0.05,USD,0,11517
Base Grade Container,Gamma 2 Case,Gamma 2 Case,Yes,,The Gamma 2 Collection,Normal,Base Grade,,2.76,2.85,2.25,3.16,USD,6.69,124383
Consumer Grade Shotgun,Sawed-Off | Forest DDPAT (Minimal Wear),Sawed-Off | Forest DDPAT (Minimal Wear),Yes,Minimal Wear,The Bank Collection,Normal,Consumer Grade,Sawed-Off,0.04,0.03,0.03,0.07,USD,25,3638
Consumer Grade Rifle,SG 553 | Army Sheen (Factory New),SG 553 | Army Sheen (Factory New),Yes,Factory New,The Bank Collection,Normal,Consumer Grade,SG 553,0.09,0.09,0.07,0.34,USD,25,7321
Base Grade Container,Clutch Case,Clutch Case,Yes,,The Clutch Collection,Normal,Base Grade,,1.52,1.51,1.34,1.7,USD,7.14,420830
Base Grade Container,Gamma 2 Case,Gamma 2 Case,Yes,,The Gamma 2 Collection,Normal,Base Grade,,2.76,2.85,2.25,3.16,USD,6.69,124383
Souvenir Consumer Grade Shotgun,Souvenir Sawed-Off | Sage Spray (Field-Tested),Souvenir Sawed-Off | Sage Spray (Field-Tested),Yes,Field-Tested,The Overpass Collection,Souvenir,Consumer Grade,Sawed-Off,0.05,0.05,0.03,0.08,USD,20,286
Consumer Grade Sniper Rifle,SCAR-20 | Sand Mesh (Battle-Scarred),SCAR-20 | Sand Mesh (Battle-Scarred),Yes,Battle-Scarred,The Dust 2 Collection,Normal,Consumer Grade,SCAR-20,0.03,0.03,0.03,0.04,USD,0,3164
Base Grade Container,Spectrum 2 Case,Spectrum 2 Case,Yes,,The Spectrum 2 Collection,Normal,Base Grade,,2.36,2.41,1.87,2.63,USD,7.37,183379
Base Grade Graffiti,Sealed Graffiti | Jump Shot (Violent Violet),Sealed Graffiti | Jump Shot (Violent Violet),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,459
Base Grade Container,Clutch Case,Clutch Case,Yes,,The Clutch Collection,Normal,Base Grade,,1.52,1.51,1.34,1.7,USD,7.14,420830
Base Grade Graffiti,Sealed Graffiti | Ninja (Brick Red),Sealed Graffiti | Ninja (Brick Red),Yes,,,Normal,Base Grade,,0.03,0.03,0.03,0.03,USD,0,529
